episodes,Proposed with Reduction,Proposed No-Reduction,Contention-free,Contention-based,Semi-static,Round-robin,Heuristics
84,-0.2924743160605431,-0.3052007436752319,0.0,0.0,0.0,0.0,0.0
85,-0.29007930159568784,-0.3068287014961243,0.0,0.0,0.0,0.0,0.0
86,-0.28768428713083266,-0.3084566593170166,0.0,0.0,0.0,0.0,0.0
87,-0.28739807903766634,-0.31039386689662934,0.0,0.0,0.0,0.0,0.0
88,-0.28711187094449997,-0.3123310744762421,0.0,0.0,0.0,0.0,0.0
89,-0.28545842319726944,-0.3105575069785118,0.0,0.0,0.0,0.0,0.0
90,-0.2838049754500389,-0.30878393948078153,0.0,0.0,0.0,0.0,0.0
91,-0.2843692287802696,-0.3078971177339554,0.0,0.0,0.0,0.0,0.0
92,-0.28493348211050035,-0.3070102959871292,0.0,0.0,0.0,0.0,0.0
93,-0.2857083365321159,-0.3082993656396866,0.0,0.0,0.0,0.0,0.0
94,-0.28648319095373154,-0.30958843529224395,0.0,0.0,0.0,0.0,0.0
95,-0.2759094774723053,-0.31062761694192886,0.0,0.0,0.0,0.0,0.0
96,-0.26533576399087905,-0.3116667985916138,0.0,0.0,0.0,0.0,0.0
97,-0.2679914586246014,-0.31481948494911194,0.0,0.0,0.0,0.0,0.0
98,-0.27064715325832367,-0.3179721713066101,0.0,0.0,0.0,0.0,0.0
99,-0.270603284239769,-0.318267023563385,0.0,0.0,0.0,0.0,0.0
100,-0.2705594152212143,-0.31856187582015993,0.0,0.0,0.0,0.0,0.0
101,-0.2685838833451271,-0.3147743299603462,0.0,0.0,0.0,0.0,0.0
102,-0.26660835146903994,-0.31098678410053254,0.0,0.0,0.0,0.0,0.0
103,-0.26792473495006563,-0.31048431396484377,0.0,0.0,0.0,0.0,0.0
104,-0.26924111843109133,-0.30998184382915495,0.0,0.0,0.0,0.0,0.0
105,-0.2717231705784798,-0.3100430995225906,0.0,0.0,0.0,0.0,0.0
106,-0.2742052227258682,-0.3101043552160263,0.0,0.0,0.0,0.0,0.0
107,-0.2748125150799751,-0.30948425829410553,0.0,0.0,0.0,0.0,0.0
108,-0.275419807434082,-0.30886416137218475,0.0,0.0,0.0,0.0,0.0
109,-0.2774191707372665,-0.3107776761054993,0.0,0.0,0.0,0.0,0.0
110,-0.279418534040451,-0.3126911908388138,0.0,0.0,0.0,0.0,0.0
111,-0.2787433475255966,-0.30627344325184824,0.0,0.0,0.0,0.0,0.0
112,-0.27806816101074217,-0.2998556956648827,0.0,0.0,0.0,0.0,0.0
113,-0.27712865471839904,-0.29927183091640475,0.0,0.0,0.0,0.0,0.0
114,-0.2761891484260559,-0.2986879661679268,0.0,0.0,0.0,0.0,0.0
115,-0.2848407804965973,-0.29827647358179094,0.0,0.0,0.0,0.0,0.0
116,-0.29349241256713865,-0.29786498099565506,0.0,0.0,0.0,0.0,0.0
117,-0.29400679618120196,-0.29680469930171965,0.0,0.0,0.0,0.0,0.0
118,-0.2945211797952652,-0.29574441760778425,0.0,0.0,0.0,0.0,0.0
119,-0.29466195702552794,-0.2957510218024254,0.0,0.0,0.0,0.0,0.0
120,-0.29480273425579073,-0.2957576259970665,0.0,0.0,0.0,0.0,0.0
121,-0.2916704185307026,-0.29897559285163877,0.0,0.0,0.0,0.0,0.0
122,-0.2885381028056145,-0.3021935597062111,0.0,0.0,0.0,0.0,0.0
123,-0.2887426570057869,-0.301019649207592,0.0,0.0,0.0,0.0,0.0
124,-0.28894721120595934,-0.2998457387089729,0.0,0.0,0.0,0.0,0.0
125,-0.28660698384046557,-0.2976433828473091,0.0,0.0,0.0,0.0,0.0
126,-0.2842667564749718,-0.2954410269856453,0.0,0.0,0.0,0.0,0.0
127,-0.2821504086256027,-0.2956463649868965,0.0,0.0,0.0,0.0,0.0
128,-0.28003406077623366,-0.2958517029881477,0.0,0.0,0.0,0.0,0.0
129,-0.279109226167202,-0.2954421639442444,0.0,0.0,0.0,0.0,0.0
130,-0.2781843915581703,-0.29503262490034105,0.0,0.0,0.0,0.0,0.0
131,-0.27652655690908434,-0.30104998126626015,0.0,0.0,0.0,0.0,0.0
132,-0.2748687222599983,-0.30706733763217925,0.0,0.0,0.0,0.0,0.0
133,-0.27471075057983396,-0.30737075954675674,0.0,0.0,0.0,0.0,0.0
134,-0.27455277889966967,-0.30767418146133424,0.0,0.0,0.0,0.0,0.0
135,-0.276031120121479,-0.3076773375272751,0.0,0.0,0.0,0.0,0.0
136,-0.2775094613432884,-0.3076804935932159,0.0,0.0,0.0,0.0,0.0
137,-0.27751285135746,-0.308492386341095,0.0,0.0,0.0,0.0,0.0
138,-0.2775162413716316,-0.309304279088974,0.0,0.0,0.0,0.0,0.0
139,-0.2778325378894806,-0.30784535259008405,0.0,0.0,0.0,0.0,0.0
140,-0.27814883440732957,-0.30638642609119415,0.0,0.0,0.0,0.0,0.0
141,-0.2840130813419819,-0.3069312036037445,0.0,0.0,0.0,0.0,0.0
142,-0.2898773282766342,-0.30747598111629487,0.0,0.0,0.0,0.0,0.0
143,-0.2905128598213196,-0.3081200525164604,0.0,0.0,0.0,0.0,0.0
144,-0.29114839136600495,-0.308764123916626,0.0,0.0,0.0,0.0,0.0
145,-0.29297955334186554,-0.3122080132365227,0.0,0.0,0.0,0.0,0.0
146,-0.2948107153177261,-0.3156519025564194,0.0,0.0,0.0,0.0,0.0
147,-0.2968200445175171,-0.3137341558933258,0.0,0.0,0.0,0.0,0.0
148,-0.29882937371730806,-0.31181640923023224,0.0,0.0,0.0,0.0,0.0
149,-0.29778650104999543,-0.3101204812526703,0.0,0.0,0.0,0.0,0.0
150,-0.2967436283826828,-0.3084245532751083,0.0,0.0,0.0,0.0,0.0
151,-0.2995484933257103,-0.30927994251251223,0.0,0.0,0.0,0.0,0.0
152,-0.30235335826873777,-0.3101353317499161,0.0,0.0,0.0,0.0,0.0
153,-0.30326191931962965,-0.3098567515611649,0.0,0.0,0.0,0.0,0.0
154,-0.3041704803705215,-0.3095781713724136,0.0,0.0,0.0,0.0,0.0
155,-0.30430710315704346,-0.30926269590854644,0.0,0.0,0.0,0.0,0.0
156,-0.3044437259435654,-0.30894722044467926,0.0,0.0,0.0,0.0,0.0
157,-0.3050213366746902,-0.308814150094986,0.0,0.0,0.0,0.0,0.0
158,-0.3055989474058151,-0.3086810797452927,0.0,0.0,0.0,0.0,0.0
159,-0.3047750279307365,-0.3056052178144455,0.0,0.0,0.0,0.0,0.0
160,-0.303951108455658,-0.3025293558835983,0.0,0.0,0.0,0.0,0.0
161,-0.30238035321235657,-0.30146609246730804,0.0,0.0,0.0,0.0,0.0
162,-0.30080959796905515,-0.3004028290510178,0.0,0.0,0.0,0.0,0.0
163,-0.2999639376997948,-0.3002807781100273,0.0,0.0,0.0,0.0,0.0
164,-0.2991182774305344,-0.30015872716903685,0.0,0.0,0.0,0.0,0.0
165,-0.2972560033202171,-0.2972444802522659,0.0,0.0,0.0,0.0,0.0
166,-0.2953937292098999,-0.294330233335495,0.0,0.0,0.0,0.0,0.0
167,-0.29624549597501754,-0.29484215676784514,0.0,0.0,0.0,0.0,0.0
168,-0.2970972627401352,-0.2953540802001953,0.0,0.0,0.0,0.0,0.0
169,-0.29863103926181794,-0.29853898882865904,0.0,0.0,0.0,0.0,0.0
170,-0.3001648157835007,-0.3017238974571228,0.0,0.0,0.0,0.0,0.0
171,-0.2968990847468376,-0.30027982741594317,0.0,0.0,0.0,0.0,0.0
172,-0.29363335371017457,-0.2988357573747635,0.0,0.0,0.0,0.0,0.0
173,-0.2913623481988907,-0.29865195155143737,0.0,0.0,0.0,0.0,0.0
174,-0.28909134268760683,-0.29846814572811126,0.0,0.0,0.0,0.0,0.0
175,-0.29035334587097167,-0.298600959777832,0.0,0.0,0.0,0.0,0.0
176,-0.29161534905433656,-0.2987337738275528,0.0,0.0,0.0,0.0,0.0
177,-0.2913065433502197,-0.29838128834962846,0.0,0.0,0.0,0.0,0.0
178,-0.2909977376461029,-0.2980288028717041,0.0,0.0,0.0,0.0,0.0
179,-0.2923033684492111,-0.3012703746557236,0.0,0.0,0.0,0.0,0.0
180,-0.2936089992523193,-0.30451194643974305,0.0,0.0,0.0,0.0,0.0
181,-0.2935252159833908,-0.30469452738761904,0.0,0.0,0.0,0.0,0.0
182,-0.29344143271446227,-0.304877108335495,0.0,0.0,0.0,0.0,0.0
183,-0.2924161523580551,-0.3054070234298706,0.0,0.0,0.0,0.0,0.0
184,-0.2913908720016479,-0.3059369385242462,0.0,0.0,0.0,0.0,0.0
185,-0.29380317479372026,-0.3067857354879379,0.0,0.0,0.0,0.0,0.0
186,-0.29621547758579253,-0.30763453245162964,0.0,0.0,0.0,0.0,0.0
187,-0.29531146585941315,-0.3082634374499321,0.0,0.0,0.0,0.0,0.0
188,-0.29440745413303376,-0.30889234244823455,0.0,0.0,0.0,0.0,0.0
189,-0.29210090488195417,-0.3083909884095192,0.0,0.0,0.0,0.0,0.0
190,-0.28979435563087463,-0.30788963437080386,0.0,0.0,0.0,0.0,0.0
191,-0.2930964738130569,-0.30902708917856214,0.0,0.0,0.0,0.0,0.0
192,-0.29639859199523927,-0.3101645439863205,0.0,0.0,0.0,0.0,0.0
193,-0.29804392755031583,-0.3096996068954468,0.0,0.0,0.0,0.0,0.0
194,-0.29968926310539246,-0.30923466980457304,0.0,0.0,0.0,0.0,0.0
195,-0.2971887946128845,-0.30897436439991,0.0,0.0,0.0,0.0,0.0
196,-0.2946883261203766,-0.3087140589952469,0.0,0.0,0.0,0.0,0.0
197,-0.29385314136743546,-0.3058588996529579,0.0,0.0,0.0,0.0,0.0
198,-0.2930179566144943,-0.30300374031066896,0.0,0.0,0.0,0.0,0.0
199,-0.2922018438577652,-0.30363577157258986,0.0,0.0,0.0,0.0,0.0
200,-0.29138573110103605,-0.3042678028345108,0.0,0.0,0.0,0.0,0.0
201,-0.29153763353824613,-0.30424142479896543,0.0,0.0,0.0,0.0,0.0
202,-0.2916895359754562,-0.3042150467634201,0.0,0.0,0.0,0.0,0.0
203,-0.29352099150419236,-0.30378994792699815,0.0,0.0,0.0,0.0,0.0
204,-0.29535244703292846,-0.30336484909057615,0.0,0.0,0.0,0.0,0.0
205,-0.2961395025253296,-0.3054760918021202,0.0,0.0,0.0,0.0,0.0
206,-0.2969265580177307,-0.30758733451366427,0.0,0.0,0.0,0.0,0.0
207,-0.29666822254657743,-0.3075668677687645,0.0,0.0,0.0,0.0,0.0
208,-0.2964098870754242,-0.30754640102386477,0.0,0.0,0.0,0.0,0.0
209,-0.295739021897316,-0.3065307945013046,0.0,0.0,0.0,0.0,0.0
210,-0.2950681567192078,-0.3055151879787445,0.0,0.0,0.0,0.0,0.0
211,-0.2931544303894043,-0.30455327928066256,0.0,0.0,0.0,0.0,0.0
212,-0.29124070405960084,-0.30359137058258057,0.0,0.0,0.0,0.0,0.0
213,-0.2907119318842888,-0.30383735746145246,0.0,0.0,0.0,0.0,0.0
214,-0.29018315970897673,-0.3040833443403244,0.0,0.0,0.0,0.0,0.0
215,-0.2909927427768707,-0.30220548808574677,0.0,0.0,0.0,0.0,0.0
216,-0.29180232584476473,-0.3003276318311691,0.0,0.0,0.0,0.0,0.0
217,-0.2936075508594513,-0.3033434718847275,0.0,0.0,0.0,0.0,0.0
218,-0.2954127758741379,-0.3063593119382858,0.0,0.0,0.0,0.0,0.0
219,-0.2964197874069214,-0.30496365427970884,0.0,0.0,0.0,0.0,0.0
220,-0.2974267989397049,-0.3035679966211319,0.0,0.0,0.0,0.0,0.0
221,-0.29710429161787033,-0.3029581159353256,0.0,0.0,0.0,0.0,0.0
222,-0.29678178429603574,-0.30234823524951937,0.0,0.0,0.0,0.0,0.0
223,-0.2935886405408382,-0.30241897255182265,0.0,0.0,0.0,0.0,0.0
224,-0.2903954967856407,-0.302489709854126,0.0,0.0,0.0,0.0,0.0
225,-0.2875430539250374,-0.30273884534835815,0.0,0.0,0.0,0.0,0.0
226,-0.28469061106443405,-0.3029879808425903,0.0,0.0,0.0,0.0,0.0
227,-0.28421922624111173,-0.30252473801374435,0.0,0.0,0.0,0.0,0.0
228,-0.28374784141778947,-0.3020614951848984,0.0,0.0,0.0,0.0,0.0
229,-0.2855530261993408,-0.3029481843113899,0.0,0.0,0.0,0.0,0.0
230,-0.2873582109808922,-0.30383487343788146,0.0,0.0,0.0,0.0,0.0
231,-0.2867549404501915,-0.29526916779577733,0.0,0.0,0.0,0.0,0.0
232,-0.2861516699194908,-0.28670346215367315,0.0,0.0,0.0,0.0,0.0
233,-0.2855719193816185,-0.2876642607152462,0.0,0.0,0.0,0.0,0.0
234,-0.2849921688437462,-0.28862505927681925,0.0,0.0,0.0,0.0,0.0
235,-0.28668443113565445,-0.29105520620942116,0.0,0.0,0.0,0.0,0.0
236,-0.2883766934275627,-0.29348535314202306,0.0,0.0,0.0,0.0,0.0
237,-0.28527230620384214,-0.2918338932096958,0.0,0.0,0.0,0.0,0.0
238,-0.2821679189801216,-0.29018243327736853,0.0,0.0,0.0,0.0,0.0
239,-0.27917361855506895,-0.28945391401648524,0.0,0.0,0.0,0.0,0.0
240,-0.27617931813001634,-0.2887253947556019,0.0,0.0,0.0,0.0,0.0
241,-0.27638269662857057,-0.2842077545821667,0.0,0.0,0.0,0.0,0.0
242,-0.2765860751271248,-0.2796901144087315,0.0,0.0,0.0,0.0,0.0
243,-0.27961501851677895,-0.2797567047178745,0.0,0.0,0.0,0.0,0.0
244,-0.2826439619064331,-0.2798232950270176,0.0,0.0,0.0,0.0,0.0
245,-0.2848260894417763,-0.2781021796166897,0.0,0.0,0.0,0.0,0.0
246,-0.2870082169771194,-0.27638106420636177,0.0,0.0,0.0,0.0,0.0
247,-0.28830543607473375,-0.2778271041810513,0.0,0.0,0.0,0.0,0.0
248,-0.289602655172348,-0.2792731441557407,0.0,0.0,0.0,0.0,0.0
249,-0.28457430452108384,-0.278167075663805,0.0,0.0,0.0,0.0,0.0
250,-0.2795459538698196,-0.27706100717186927,0.0,0.0,0.0,0.0,0.0
251,-0.28167648017406466,-0.28839793540537356,0.0,0.0,0.0,0.0,0.0
252,-0.28380700647830964,-0.29973486363887786,0.0,0.0,0.0,0.0,0.0
253,-0.2850289151072502,-0.2976281076669693,0.0,0.0,0.0,0.0,0.0
254,-0.2862508237361908,-0.2955213516950607,0.0,0.0,0.0,0.0,0.0
255,-0.28497278690338135,-0.2945959746837616,0.0,0.0,0.0,0.0,0.0
256,-0.2836947500705719,-0.29367059767246245,0.0,0.0,0.0,0.0,0.0
257,-0.2853056967258453,-0.2934121787548065,0.0,0.0,0.0,0.0,0.0
258,-0.2869166433811188,-0.2931537598371506,0.0,0.0,0.0,0.0,0.0
259,-0.28846225291490557,-0.29480632990598676,0.0,0.0,0.0,0.0,0.0
260,-0.2900078624486923,-0.296458899974823,0.0,0.0,0.0,0.0,0.0
261,-0.29082522690296175,-0.3024775892496109,0.0,0.0,0.0,0.0,0.0
262,-0.29164259135723114,-0.3084962785243988,0.0,0.0,0.0,0.0,0.0
263,-0.29035342335700987,-0.30760411322116854,0.0,0.0,0.0,0.0,0.0
264,-0.28906425535678865,-0.3067119479179382,0.0,0.0,0.0,0.0,0.0
265,-0.28837813436985016,-0.30486922413110734,0.0,0.0,0.0,0.0,0.0
266,-0.28769201338291167,-0.3030265003442764,0.0,0.0,0.0,0.0,0.0
267,-0.2869608193635941,-0.30236303359270095,0.0,0.0,0.0,0.0,0.0
268,-0.28622962534427643,-0.3016995668411255,0.0,0.0,0.0,0.0,0.0
269,-0.28948731273412703,-0.3032231584191322,0.0,0.0,0.0,0.0,0.0
270,-0.29274500012397764,-0.30474674999713897,0.0,0.0,0.0,0.0,0.0
271,-0.29130479991436004,-0.3029563933610916,0.0,0.0,0.0,0.0,0.0
272,-0.28986459970474243,-0.3011660367250443,0.0,0.0,0.0,0.0,0.0
273,-0.2883370816707611,-0.30257183909416197,0.0,0.0,0.0,0.0,0.0
274,-0.2868095636367798,-0.3039776414632797,0.0,0.0,0.0,0.0,0.0
275,-0.28588018119335173,-0.30400623083114625,0.0,0.0,0.0,0.0,0.0
276,-0.2849507987499237,-0.30403482019901273,0.0,0.0,0.0,0.0,0.0
277,-0.2841667145490646,-0.30504354536533357,0.0,0.0,0.0,0.0,0.0
278,-0.28338263034820554,-0.30605227053165435,0.0,0.0,0.0,0.0,0.0
279,-0.2839148372411728,-0.30454578399658205,0.0,0.0,0.0,0.0,0.0
280,-0.28444704413414,-0.3030392974615097,0.0,0.0,0.0,0.0,0.0
281,-0.2818009823560715,-0.30101400464773176,0.0,0.0,0.0,0.0,0.0
282,-0.27915492057800295,-0.29898871183395387,0.0,0.0,0.0,0.0,0.0
283,-0.27834606170654297,-0.29911469519138334,0.0,0.0,0.0,0.0,0.0
284,-0.277537202835083,-0.29924067854881287,0.0,0.0,0.0,0.0,0.0
285,-0.27829001396894454,-0.2998664081096649,0.0,0.0,0.0,0.0,0.0
286,-0.2790428251028061,-0.30049213767051697,0.0,0.0,0.0,0.0,0.0
287,-0.2786898747086525,-0.3007248118519783,0.0,0.0,0.0,0.0,0.0
288,-0.2783369243144989,-0.30095748603343964,0.0,0.0,0.0,0.0,0.0
289,-0.2791007399559021,-0.29933821856975557,0.0,0.0,0.0,0.0,0.0
290,-0.2798645555973053,-0.2977189511060715,0.0,0.0,0.0,0.0,0.0
291,-0.2767400868237019,-0.29970955550670625,0.0,0.0,0.0,0.0,0.0
292,-0.27361561805009843,-0.301700159907341,0.0,0.0,0.0,0.0,0.0
293,-0.27386239618062974,-0.30102150440216063,0.0,0.0,0.0,0.0,0.0
294,-0.27410917431116105,-0.30034284889698026,0.0,0.0,0.0,0.0,0.0
295,-0.2737726032733917,-0.30008911788463594,0.0,0.0,0.0,0.0,0.0
296,-0.2734360322356224,-0.29983538687229155,0.0,0.0,0.0,0.0,0.0
297,-0.2747636869549751,-0.3007744237780571,0.0,0.0,0.0,0.0,0.0
298,-0.27609134167432786,-0.30171346068382265,0.0,0.0,0.0,0.0,0.0
299,-0.2753457918763161,-0.3032540321350098,0.0,0.0,0.0,0.0,0.0
300,-0.2746002420783043,-0.3047946035861969,0.0,0.0,0.0,0.0,0.0
301,-0.2755794510245323,-0.3066956788301468,0.0,0.0,0.0,0.0,0.0
302,-0.27655865997076035,-0.3085967540740967,0.0,0.0,0.0,0.0,0.0
303,-0.27688544392585757,-0.3083579480648041,0.0,0.0,0.0,0.0,0.0
304,-0.27721222788095473,-0.3081191420555115,0.0,0.0,0.0,0.0,0.0
305,-0.275654037296772,-0.3096581995487213,0.0,0.0,0.0,0.0,0.0
306,-0.27409584671258924,-0.31119725704193113,0.0,0.0,0.0,0.0,0.0
307,-0.2730864226818085,-0.31083667278289795,0.0,0.0,0.0,0.0,0.0
308,-0.2720769986510277,-0.31047608852386477,0.0,0.0,0.0,0.0,0.0
309,-0.27148358821868895,-0.31092201322317126,0.0,0.0,0.0,0.0,0.0
310,-0.2708901777863503,-0.31136793792247774,0.0,0.0,0.0,0.0,0.0
311,-0.2735964603722095,-0.3094233229756355,0.0,0.0,0.0,0.0,0.0
312,-0.27630274295806884,-0.30747870802879335,0.0,0.0,0.0,0.0,0.0
313,-0.27585525065660477,-0.30675794631242753,0.0,0.0,0.0,0.0,0.0
314,-0.2754077583551407,-0.3060371845960617,0.0,0.0,0.0,0.0,0.0
315,-0.27546113878488543,-0.30425890535116196,0.0,0.0,0.0,0.0,0.0
316,-0.2755145192146301,-0.3024806261062622,0.0,0.0,0.0,0.0,0.0
317,-0.2748578906059265,-0.30235791951417923,0.0,0.0,0.0,0.0,0.0
318,-0.2742012619972229,-0.30223521292209626,0.0,0.0,0.0,0.0,0.0
319,-0.27475108206272125,-0.30051457285881045,0.0,0.0,0.0,0.0,0.0
320,-0.2753009021282196,-0.2987939327955246,0.0,0.0,0.0,0.0,0.0
321,-0.27606956362724305,-0.29742768704891204,0.0,0.0,0.0,0.0,0.0
322,-0.2768382251262665,-0.2960614413022995,0.0,0.0,0.0,0.0,0.0
323,-0.2788681000471115,-0.2951556980609894,0.0,0.0,0.0,0.0,0.0
324,-0.28089797496795654,-0.29424995481967925,0.0,0.0,0.0,0.0,0.0
325,-0.281035915017128,-0.2937907099723816,0.0,0.0,0.0,0.0,0.0
326,-0.28117385506629944,-0.2933314651250839,0.0,0.0,0.0,0.0,0.0
327,-0.28104451298713684,-0.2940316408872604,0.0,0.0,0.0,0.0,0.0
328,-0.28091517090797424,-0.29473181664943693,0.0,0.0,0.0,0.0,0.0
329,-0.279736902564764,-0.2940844610333443,0.0,0.0,0.0,0.0,0.0
